time_s,flow_id,src,dst,throughput_kbps,delay_ms,lost_packets
120.000,1,10.0.10.2,10.0.80.2,527.342,0.613,1
120.000,2,10.0.10.3,10.0.80.2,527.336,1.726,1
120.000,3,10.0.10.4,10.0.80.2,527.337,1.721,1
120.000,4,10.0.10.5,10.0.80.2,527.340,1.721,1
120.000,5,10.0.20.3,10.0.80.6,527.342,0.706,1
120.000,6,10.0.20.4,10.0.80.6,527.332,2.230,1
120.000,7,10.0.20.5,10.0.80.6,527.335,2.235,1
120.000,8,10.0.20.6,10.0.80.6,527.368,2.234,0
120.000,9,10.0.20.7,10.0.80.6,527.339,2.235,1
120.000,10,10.0.20.8,10.0.80.6,527.333,2.231,1
120.000,11,10.0.20.9,10.0.80.6,527.332,2.225,1
120.000,12,10.0.20.10,10.0.80.6,527.338,2.234,1
120.000,13,10.0.20.11,10.0.80.6,527.336,2.227,1
120.000,14,10.0.30.2,10.0.80.6,527.342,0.736,1
120.000,15,10.0.30.3,10.0.80.6,527.331,2.270,1
120.000,16,10.0.30.4,10.0.80.6,527.339,2.283,1
120.000,17,10.0.30.5,10.0.80.6,527.340,2.289,1
120.000,18,10.0.30.6,10.0.80.6,527.298,2.272,2
120.000,19,10.0.30.7,10.0.80.6,527.333,2.278,1
120.000,20,10.0.30.8,10.0.80.6,527.332,2.276,1
120.000,21,10.0.30.9,10.0.80.6,527.337,2.280,1
120.000,22,10.0.30.10,10.0.80.6,527.331,2.279,1
120.000,23,10.0.30.11,10.0.80.6,527.335,2.281,1
120.000,24,10.0.40.2,10.0.80.5,527.342,0.791,1
120.000,25,10.0.40.3,10.0.80.5,527.335,1.983,1
120.000,26,10.0.40.4,10.0.80.5,527.340,1.974,1
120.000,27,10.0.40.5,10.0.80.5,527.335,1.978,1
120.000,28,10.0.40.6,10.0.80.5,527.300,1.971,2
120.000,29,10.0.40.7,10.0.80.5,527.338,1.984,1
120.000,30,10.0.50.2,10.0.80.2,527.341,0.833,1
120.000,31,10.0.50.3,10.0.80.2,527.301,1.712,2
120.000,32,10.0.50.4,10.0.80.2,527.334,1.722,1
120.000,33,10.0.50.5,10.0.80.2,527.303,1.725,2
120.000,34,10.0.60.2,10.0.80.6,527.341,0.901,1
120.000,35,10.0.60.3,10.0.80.6,527.339,2.151,1
