time_s,flow_id,src,dst,throughput_kbps,delay_ms,lost_packets
120.000,36,10.0.60.4,10.0.80.6,527.337,2.149,1
120.000,37,10.0.60.5,10.0.80.6,527.334,2.150,1
120.000,38,10.0.60.6,10.0.80.6,527.336,2.152,1
120.000,39,10.0.60.7,10.0.80.6,527.333,2.142,1
120.000,40,10.0.60.8,10.0.80.6,527.332,2.154,1
120.000,41,10.0.60.9,10.0.80.6,527.340,2.153,1
120.000,42,10.0.70.2,10.0.80.2,527.304,0.943,2
120.000,43,10.0.70.3,10.0.80.2,527.333,1.954,1
120.000,44,10.0.70.4,10.0.80.2,527.297,1.972,2
120.000,45,10.0.70.5,10.0.80.2,527.338,1.964,1
120.000,46,10.0.70.6,10.0.80.2,527.304,1.965,2
120.000,47,10.0.70.7,10.0.80.2,527.300,1.965,2
120.000,48,10.0.20.2,10.0.80.2,0.376,1.311,0
120.000,49,10.0.20.2,10.0.80.2,0.368,1.136,1
120.000,50,10.0.20.2,10.0.80.2,0.368,1.227,1
120.000,51,10.0.20.2,10.0.80.2,0.360,1.140,2
120.000,52,10.0.20.2,10.0.80.2,0.360,1.186,2
120.000,53,10.0.20.2,10.0.80.2,0.360,1.209,2
120.000,54,10.0.20.2,10.0.80.2,0.360,1.256,2
120.000,55,10.0.20.2,10.0.80.2,0.360,1.279,2
120.000,56,10.0.20.2,10.0.80.2,0.360,1.302,2
120.000,57,10.0.20.2,10.0.80.2,0.360,1.349,2
120.000,58,10.0.20.2,10.0.80.2,0.360,1.372,2
120.000,59,10.0.20.2,10.0.80.2,0.360,1.465,2
120.000,60,10.0.20.2,10.0.80.2,0.360,1.488,2
120.000,61,10.0.20.2,10.0.80.2,0.360,1.535,2
120.000,62,10.0.20.2,10.0.80.2,0.360,1.558,2
120.000,63,10.0.20.2,10.0.80.2,0.360,1.605,2
120.000,64,10.0.20.2,10.0.80.2,0.360,1.628,2
120.000,65,10.0.20.2,10.0.80.2,0.360,1.651,2
120.000,66,10.0.20.2,10.0.80.2,0.360,1.698,2
120.000,67,10.0.20.2,10.0.80.2,0.360,1.721,2
120.000,68,10.0.20.2,10.0.80.2,0.360,1.860,2
120.000,69,10.0.20.2,10.0.80.2,0.360,1.884,2
120.000,70,10.0.20.2,10.0.80.2,0.360,1.907,2
120.000,71,10.0.20.2,10.0.80.2,0.360,1.930,2
120.000,72,10.0.20.2,10.0.80.2,0.360,1.953,2
120.000,73,10.0.20.2,10.0.80.2,0.360,2.000,2
120.000,74,10.0.20.2,10.0.80.2,0.360,2.023,2
120.000,75,10.0.20.2,10.0.80.2,0.360,2.047,2
120.000,76,10.0.20.2,10.0.80.2,0.360,2.070,2
120.000,77,10.0.20.2,10.0.80.2,0.360,2.116,2
120.000,78,10.0.20.2,10.0.80.2,0.360,2.140,2
120.000,79,10.0.20.2,10.0.80.2,0.360,2.163,2
120.000,80,10.0.20.2,10.0.80.2,0.360,2.209,2
120.000,81,10.0.20.2,10.0.80.2,0.360,2.233,2
120.000,82,10.0.20.2,10.0.80.2,0.360,2.279,2
120.000,83,10.0.20.2,10.0.80.2,0.360,2.302,2
120.000,84,10.0.20.2,10.0.80.2,0.360,2.349,2
120.000,85,10.0.20.2,10.0.80.2,0.360,2.349,2
120.000,86,10.0.20.2,10.0.80.2,0.360,2.395,2
120.000,87,10.0.20.2,10.0.80.2,0.360,2.419,2
120.000,88,10.0.20.2,10.0.80.2,0.360,2.442,2
120.000,89,10.0.20.2,10.0.80.2,0.360,2.442,2
120.000,90,10.0.20.2,10.0.80.2,0.360,2.465,2
120.000,91,10.0.20.2,10.0.80.2,0.360,2.488,2
120.000,92,10.0.20.2,10.0.80.2,0.360,2.512,2
120.000,93,10.0.20.2,10.0.80.2,0.360,2.535,2
120.000,94,10.0.20.2,10.0.80.2,0.360,2.558,2
120.000,95,10.0.20.2,10.0.80.2,0.360,2.605,2
120.000,96,10.0.20.2,10.0.80.2,0.360,2.628,2
120.000,97,10.0.20.2,10.0.80.2,0.360,2.628,2
120.000,98,10.0.20.2,10.0.80.2,0.360,2.674,2
120.000,99,10.0.20.2,10.0.80.2,0.360,2.698,2
120.000,100,10.0.20.2,10.0.80.2,0.360,2.721,2
120.000,101,10.0.20.2,10.0.80.2,0.360,2.767,2
120.000,102,10.0.20.2,10.0.80.2,0.360,2.791,2
120.000,103,10.0.20.2,10.0.80.2,0.360,2.814,2
120.000,104,10.0.20.2,10.0.80.2,0.360,2.837,2
120.000,105,10.0.20.2,10.0.80.2,0.360,2.907,2
120.000,106,10.0.20.2,10.0.80.2,0.360,2.930,2
120.000,107,10.0.20.2,10.0.80.2,0.360,2.953,2
120.000,108,10.0.20.2,10.0.80.2,0.360,2.977,2
120.000,109,10.0.20.2,10.0.80.2,0.360,3.000,2
120.000,110,10.0.20.2,10.0.80.2,0.360,3.093,2
120.000,111,10.0.20.2,10.0.80.2,0.360,3.116,2
120.000,112,10.0.20.2,10.0.80.2,0.360,3.140,2
120.000,113,10.0.20.2,10.0.80.2,0.360,3.163,2
120.000,114,10.0.20.2,10.0.80.2,0.360,3.186,2
120.000,115,10.0.20.2,10.0.80.2,0.360,3.209,2
120.000,116,10.0.20.2,10.0.80.2,0.360,3.233,2
120.000,117,10.0.20.2,10.0.80.2,0.360,3.256,2
120.000,118,10.0.20.2,10.0.80.2,0.360,3.279,2
120.000,119,10.0.20.2,10.0.80.2,0.360,3.302,2
120.000,120,10.0.20.2,10.0.80.2,0.360,3.372,2
120.000,121,10.0.20.2,10.0.80.2,0.360,3.395,2
120.000,122,10.0.20.2,10.0.80.2,0.360,3.419,2
120.000,123,10.0.20.2,10.0.80.2,0.360,3.442,2
120.000,124,10.0.20.2,10.0.80.2,0.360,3.488,2
120.000,125,10.0.20.2,10.0.80.2,0.360,3.535,2
120.000,126,10.0.20.2,10.0.80.2,0.360,3.558,2
120.000,127,10.0.20.2,10.0.80.2,0.360,3.628,2
120.000,128,10.0.20.2,10.0.80.2,0.360,3.651,2
120.000,129,10.0.20.2,10.0.80.2,0.360,3.674,2
120.000,130,10.0.20.2,10.0.80.2,0.360,3.698,2
120.000,131,10.0.20.2,10.0.80.2,0.360,3.744,2
120.000,132,10.0.20.2,10.0.80.2,0.360,3.791,2
120.000,133,10.0.20.2,10.0.80.2,0.360,3.814,2
120.000,134,10.0.20.2,10.0.80.2,0.360,3.837,2
120.000,135,10.0.20.2,10.0.80.2,0.360,3.860,2
120.000,136,10.0.20.2,10.0.80.2,0.360,3.884,2
120.000,137,10.0.20.2,10.0.80.2,0.360,3.953,2
120.000,138,10.0.20.2,10.0.80.2,0.360,4.000,2
120.000,139,10.0.20.2,10.0.80.2,0.360,4.023,2
120.000,140,10.0.20.2,10.0.80.2,0.360,4.047,2
120.000,141,10.0.20.2,10.0.80.2,0.360,4.093,2
120.000,142,10.0.20.2,10.0.80.2,0.360,4.116,2
120.000,143,10.0.20.2,10.0.80.2,0.360,4.140,2
120.000,144,10.0.20.2,10.0.80.2,0.360,4.163,2
120.000,145,10.0.20.2,10.0.80.2,0.360,4.186,2
120.000,146,10.0.20.2,10.0.80.2,0.360,4.209,2
120.000,147,10.0.20.2,10.0.80.2,0.360,4.302,2
120.000,148,10.0.20.2,10.0.10.2,4.369,0.189,0
120.000,149,10.0.20.2,10.0.50.2,4.369,0.189,0
120.000,150,10.0.20.2,10.0.80.2,841.551,5.208,50
