time_s,flow_id,src,dst,throughput_kbps,delay_ms,lost_packets
120.000,1,10.0.10.2,10.0.80.2,527.379,0.108,0
120.000,2,10.0.10.3,10.0.80.2,527.372,1.221,0
120.000,3,10.0.10.4,10.0.80.2,527.374,1.216,0
120.000,4,10.0.10.5,10.0.80.2,527.376,1.215,0
120.000,5,10.0.20.3,10.0.80.6,527.378,0.189,0
120.000,6,10.0.20.4,10.0.80.6,527.368,1.710,0
120.000,7,10.0.20.5,10.0.80.6,527.376,1.723,0
120.000,8,10.0.20.6,10.0.80.6,527.370,1.713,0
120.000,9,10.0.20.7,10.0.80.6,527.375,1.723,0
120.000,10,10.0.20.8,10.0.80.6,527.373,1.711,0
120.000,11,10.0.20.9,10.0.80.6,527.369,1.709,0
120.000,12,10.0.20.10,10.0.80.6,527.371,1.709,0
120.000,13,10.0.20.11,10.0.80.6,527.368,1.710,0
120.000,14,10.0.30.2,10.0.80.6,527.378,0.217,0
120.000,15,10.0.30.3,10.0.80.6,527.368,1.752,0
120.000,16,10.0.30.4,10.0.80.6,527.375,1.764,0
120.000,17,10.0.30.5,10.0.80.6,527.377,1.771,0
120.000,18,10.0.30.6,10.0.80.6,527.370,1.754,0
120.000,19,10.0.30.7,10.0.80.6,527.370,1.760,0
120.000,20,10.0.30.8,10.0.80.6,527.369,1.758,0
120.000,21,10.0.30.9,10.0.80.6,527.373,1.761,0
120.000,22,10.0.30.10,10.0.80.6,527.368,1.760,0
120.000,23,10.0.30.11,10.0.80.6,527.371,1.763,0
120.000,24,10.0.40.2,10.0.80.5,527.378,0.272,0
120.000,25,10.0.40.3,10.0.80.5,527.371,1.465,0
120.000,26,10.0.40.4,10.0.80.5,527.376,1.456,0
120.000,27,10.0.40.5,10.0.80.5,527.372,1.460,0
120.000,28,10.0.40.6,10.0.80.5,527.336,1.452,1
120.000,29,10.0.40.7,10.0.80.5,527.375,1.466,0
120.000,30,10.0.50.2,10.0.80.2,527.378,0.328,0
120.000,31,10.0.50.3,10.0.80.2,527.338,1.212,1
120.000,32,10.0.50.4,10.0.80.2,527.375,1.213,0
120.000,33,10.0.50.5,10.0.80.2,527.337,1.216,1
120.000,34,10.0.60.2,10.0.80.6,527.377,0.382,0
120.000,35,10.0.60.3,10.0.80.6,527.375,1.633,0
120.000,36,10.0.60.4,10.0.80.6,527.374,1.631,0
120.000,37,10.0.60.5,10.0.80.6,527.371,1.632,0
120.000,38,10.0.60.6,10.0.80.6,527.372,1.634,0
120.000,39,10.0.60.7,10.0.80.6,527.369,1.624,0
120.000,40,10.0.60.8,10.0.80.6,527.369,1.635,0
120.000,41,10.0.60.9,10.0.80.6,527.376,1.634,0
120.000,42,10.0.70.2,10.0.80.2,527.341,0.437,1
120.000,43,10.0.70.3,10.0.80.2,527.369,1.449,0
120.000,44,10.0.70.4,10.0.80.2,527.334,1.466,1
120.000,45,10.0.70.5,10.0.80.2,527.374,1.458,0
120.000,46,10.0.70.6,10.0.80.2,527.341,1.459,1
120.000,47,10.0.70.7,10.0.80.2,527.336,1.460,1
120.000,48,10.0.20.2,10.0.80.2,0.376,0.511,0
120.000,49,10.0.20.2,10.0.80.2,0.376,0.533,0
120.000,50,10.0.20.2,10.0.80.2,0.376,0.644,0
120.000,51,10.0.20.2,10.0.80.2,0.368,0.523,1
120.000,52,10.0.20.2,10.0.80.2,0.368,0.545,1
120.000,53,10.0.20.2,10.0.80.2,0.368,0.591,1
120.000,54,10.0.20.2,10.0.80.2,0.368,0.636,1
120.000,55,10.0.20.2,10.0.80.2,0.368,0.659,1
120.000,56,10.0.20.2,10.0.80.2,0.368,0.682,1
120.000,57,10.0.20.2,10.0.80.2,0.368,0.773,1
120.000,58,10.0.20.2,10.0.80.2,0.368,0.795,1
120.000,59,10.0.20.2,10.0.80.2,0.368,0.841,1
120.000,60,10.0.20.2,10.0.80.2,0.368,0.886,1
120.000,61,10.0.20.2,10.0.80.2,0.368,0.909,1
120.000,62,10.0.20.2,10.0.80.2,0.368,0.955,1
120.000,63,10.0.20.2,10.0.80.2,0.368,0.977,1
120.000,64,10.0.20.2,10.0.80.2,0.368,1.068,1
120.000,65,10.0.20.2,10.0.80.2,0.368,1.091,1
120.000,66,10.0.20.2,10.0.80.2,0.368,1.114,1
120.000,67,10.0.20.2,10.0.80.2,0.368,1.136,1
120.000,68,10.0.20.2,10.0.80.2,0.368,1.159,1
120.000,69,10.0.20.2,10.0.80.2,0.368,1.205,1
120.000,70,10.0.20.2,10.0.80.2,0.368,1.227,1
120.000,71,10.0.20.2,10.0.80.2,0.368,1.273,1
120.000,72,10.0.20.2,10.0.80.2,0.368,1.295,1
120.000,73,10.0.20.2,10.0.80.2,0.368,1.318,1
120.000,74,10.0.20.2,10.0.80.2,0.368,1.341,1
120.000,75,10.0.20.2,10.0.80.2,0.368,1.364,1
120.000,76,10.0.20.2,10.0.80.2,0.368,1.432,1
120.000,77,10.0.20.2,10.0.80.2,0.368,1.500,1
120.000,78,10.0.20.2,10.0.80.2,0.368,1.523,1
120.000,79,10.0.20.2,10.0.80.2,0.368,1.545,1
120.000,80,10.0.20.2,10.0.80.2,0.368,1.591,1
120.000,81,10.0.20.2,10.0.80.2,0.368,1.636,1
120.000,82,10.0.20.2,10.0.80.2,0.368,1.659,1
120.000,83,10.0.20.2,10.0.80.2,0.368,1.682,1
120.000,84,10.0.20.2,10.0.80.2,0.368,1.705,1
120.000,85,10.0.20.2,10.0.80.2,0.368,1.727,1
120.000,86,10.0.20.2,10.0.80.2,0.368,1.750,1
120.000,87,10.0.20.2,10.0.80.2,0.368,1.773,1
120.000,88,10.0.20.2,10.0.80.2,0.368,1.818,1
120.000,89,10.0.20.2,10.0.80.2,0.368,1.841,1
120.000,90,10.0.20.2,10.0.80.2,0.368,1.864,1
120.000,91,10.0.20.2,10.0.80.2,0.368,1.886,1
120.000,92,10.0.20.2,10.0.80.2,0.368,1.909,1
120.000,93,10.0.20.2,10.0.80.2,0.368,1.932,1
120.000,94,10.0.20.2,10.0.80.2,0.368,2.000,1
120.000,95,10.0.20.2,10.0.80.2,0.368,2.023,1
120.000,96,10.0.20.2,10.0.80.2,0.368,2.045,1
120.000,97,10.0.20.2,10.0.80.2,0.368,2.091,1
120.000,98,10.0.20.2,10.0.80.2,0.368,2.114,1
120.000,99,10.0.20.2,10.0.80.2,0.368,2.136,1
120.000,100,10.0.20.2,10.0.80.2,0.368,2.159,1
120.000,101,10.0.20.2,10.0.80.2,0.368,2.182,1
120.000,102,10.0.20.2,10.0.80.2,0.368,2.227,1
120.000,103,10.0.20.2,10.0.80.2,0.368,2.250,1
120.000,104,10.0.20.2,10.0.80.2,0.368,2.273,1
120.000,105,10.0.20.2,10.0.80.2,0.368,2.341,1
120.000,106,10.0.20.2,10.0.80.2,0.368,2.364,1
120.000,107,10.0.20.2,10.0.80.2,0.368,2.386,1
120.000,108,10.0.20.2,10.0.80.2,0.368,2.409,1
120.000,109,10.0.20.2,10.0.80.2,0.368,2.455,1
